input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"sentiment | In the plane collision event, if one goes by the US logic, only the US spy plane is permitted to spy at other people's doorsteps; the host, on the other hand, does not even have the right to look after its doors and to protect its yard. | if one goes by the US logic, only the US spy plane is permitted to spy at other people's doorsteps; the host, on the other hand, does not even have the right to look after its doors and to protect its yard",medium high
"arguing | Bush stressed that the war is not only the ""US war ""but also a ""world war."" | stressed that the war is not only the ""US war ""but also a ""world war",medium high
"sentiment | After the 11 September attacks on the United States, the international community strongly condemned the terrorist acts and expressed sympathy and support to the American people. | expressed sympathy and support to",medium
"intention | The international community and even US western allies, including US neighbor Canada, have consistently opposed the plan. | the plan",low medium
"sentiment | Hard on the heels of that decision, the US negotiation representative Marie Chevrier announced in Geneva that the Bush administration would not support the implementation of the ""Biological Weapons Convention ""and that the United States strongly objected to the concrete enforcement plan of this convention. | would not support",medium high
intention | One of the main US diplomatic goals for this year is to persuade the international community to accept the NMD and Russia to agree to revise the Anti-Ballistic Missile Treaty [AMD] by flashing a carrot on a stick. | main US diplomatic goals,medium
"sentiment | He even claimed that to develop the NMD, the United States would be even prepared to scrap the ABM. | to develop the NMD, the United States would be even prepared to scrap the ABM",low medium
"arguing | At one time, he said the new US missile defense system would not pose a threat to the international security and would not trigger an arms race; on another occasion, he stated the Anti-Ballistic Missile Treaty signed by the Soviet Union and the United States in 1972 was ""a product of the Cold War era, ""and thus has lost its binding force. | would not pose a threat to the international security and would not trigger an arms race",medium
"sentiment | But after the Chinese side released all the US crew members, major US political figures changed their stance immediately and threatened to use human rights, trade, and Olympics hosting issues to ""retaliate ""against China. | threatened to use human rights, trade, and Olympics hosting issues to ""retaliate ""against",high
"agreement | The US side not only refused to apologize to China but also claimed that ""US crew members were detained by the Chinese side.""It was only because of it being deterred by the Chinese Government's firm position and due to the fact that the US crew members were still in China that the United States was compelled to offer an apology. | refused to",medium high
