input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,positive
arguing | Methodist Bishop Purity Malinga on Tuesday echoed the sentiments of South Africa's Independent Electoral Commission (IEC) chairwoman Brigalia Bam that Zimbabwe election did not conform to international standards. | did not conform to international standards,negative
"sentiment | Malinga, who was based in southern Matabeleland near Beitbridge, said the election were characterised by -- among others -- intimidation. | were characterised by -- among others -- intimidation",negative
"sentiment | The majority report, endorsed only by the ANC, said the observer mission had noted that over three million Zimbabweans had cast their votes and this substantially represented the will of the people. | will of",positive
"arguing | She believed that SAOM head, Dr Sam Motsuenyane had probably based his findings on the guidelines. | believed that SAOM head, Dr Sam Motsuenyane had probably based his findings on the guidelines",positive
"sentiment | The United States, Britain, local Zimbabwean observers, and the Commonwealth observer team also described the poll as not free and fair. | not free and fair",negative
"arguing | Malinga, who was based in southern Matabeleland near Beitbridge, said the election were characterised by -- among others -- intimidation. | were characterised by -- among others -- intimidation",positive
"arguing | ""At one station were not allowed in and told that we had nothing to do with the Zimbabwe issue. | had nothing to do with the Zimbabwe issue",negative
"arguing | ""We were also advised to be vigilant in what we say in private and in public, ""Malinga said. | advised to be vigilant in what we say in private and in public",positive
"sentiment | They were turned away in twenties, thirties and fifties."" | They were turned away in twenties, thirties and fifties",negative
"sentiment | Bam on Sunday said she believed Zimbabwe's election was not free and fair, adding they were not in line with international standards as well as those of her organisation. | were not in line with international standards as well as those of her organisation",negative
"arguing | ""Even in the queues at polling centres there was a lot of fear and tension. | there was a lot of fear and tension",positive
sentiment | Another member of the South African Observer Mission to Zimbabwe says the past weekend's presidential election in the southern African country was not free and fair | was not free and fair,negative
"sentiment | But the solution to the present impasse lies with the people of Zimbabwe and Africa, not with the people of Britain and Europe. | the present impasse",negative
sentiment | C'wealth mission conduct questionable | questionable,negative
"arguing | These are some of the realities that Presidents Obasanjo of Nigeria and Thabo Mbeki of South Africa, confronted as they flew from Harare last night for their meeting in London tomorrow with the Australian leader who is the third member of the Commonwealth troika. | These are some of the realities that Presidents Obasanjo of Nigeria and Thabo Mbeki of South Africa, confronted",positive
"sentiment | The Nigerian leader, President Olusegun Obasanjo, had urged the minister not to attack Blair frontally over Britain's negative position regarding Zimbabwe, but to deal with the presidential election preparations in a dispassionate and precise manner. | had urged",positive
"sentiment | The British leader fudged his reply and the Commonwealth leaders were left with the distinct impression that the ""Blair report ""had already been written in London before the Commonwealth mission even left for Zimbabwe. | had already been written in London before the Commonwealth mission even left for Zimbabwe",negative
